Expiration,Counterparty,Reference Debt Obligation/Index,Notional Amount,Fixed Payments Received by the Fund,Frequency of Payments Received,Unrealized Gain (Loss),CIK,Reporting Type,Report Year
12/20/2013,Deutsche,"Expedia, 7.46%, 08/01/2018","2,535,000",3.50%,Quarterly,"120,977",0001210123,N-CSRS,09
12/20/2013,Goldman Sachs,"Humana, 6.30%, 12/22/2008","2,545,000",3.75%,Quarterly,"(100,749",0001210123,N-CSRS,09
12/20/2013,Goldman Sachs,"Sun Microsystems, Inc., 0.75%, 02/01/2014","2,405,000",1.55%,Quarterly,"(11,991",0001210123,N-CSRS,09
12/20/2013,JPMorgan,"Expedia, 7.46%, 08/01/2018","1,540,000",5.35%,Quarterly,"(42,616",0001210123,N-CSRS,09
12/20/2013,UBS,"Motorola, 6.50%, 09/01/2025","555,000",3.07%,Quarterly,"10,982",0001210123,N-CSRS,09
12/20/2013,UBS,"Motorola, 6.50%, 09/01/2025","1,960,000",2.55%,Quarterly,"80,540",0001210123,N-CSRS,09
12/20/2013,UBS,"Motorola, 6.50%, 09/01/2025","1,550,000",2.58%,Quarterly,"61,696",0001210123,N-CSRS,09
12/20/2013,UBS,"Pulte, 5.25%, 01/15/2014","1,390,000",2.43%,Quarterly,"71,357",0001210123,N-CSRS,09
12/20/2013,UBS,"Pulte, 5.25%, 01/15/2014","3,100,000",2.45%,Quarterly,"156,418",0001210123,N-CSRS,09
