"
SWAPCOUNTERPARTY &REFERENCEOBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000'S)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)","
UPFRONTPAYMENT","
VALUE","
CREDITRATING OFREFERENCEOBLIGATION ",CIK,Reporting Type,Report Year
"
Bank of America, N.A. Carnival Corp.","
Buy",150,1.57,"
March 20, 2018","
17,311","
17,311","
A-",,0000839302,N-CSRS,09
"
Bank of America, N.A.Centurytel, Inc.","
Buy",120,0.88,"
September 20, 2017","
2,599","
2,599","
BBB-",,0000839302,N-CSRS,09
"
Goldman SachsInternational Dow Jones Index","
Sell",425,1.4,"
December 20, 2012","
(40,010","
(24,093","
(64,103","
NR",0000839302,N-CSRS,09
"
Goldman SachsInternational Dow Jones Index","
Sell",440,1.4,"
December 20, 2012","
(41,902","
(24,387","
(66,289","
NR",0000839302,N-CSRS,09
"
Goldman SachsInternational Dow Jones Index","
Sell",749,1.4,"
December 20, 2012","
(68,671","
(44,237","
(112,908","
NR",0000839302,N-CSRS,09
