Underlying Instrument,Counterparty,Expiration Date,Fixed Rate,Notional Amount,CIK,Reporting Type,Report Year
Federative Republic of Brazil,Barclays Bank PLC,9/20/16,1.49,550000,0000798290,N-Q,14
"Federative Republic
      of Brazil","Barclays Bank
      PLC",6/20/18,1.91,300000,0000798290,N-Q,14
Federative Republic of Brazil,JPMorgan Chase Bank N.A.,6/20/18,1.91,500000,0000798290,N-Q,14
"People's Republic of
      China","JPMorgan Chase Bank
      N.A.",9/20/16,0.47,500000,0000798290,N-Q,14
People's Republic of China,JPMorgan Chase Bank N.A.,9/20/16,0.47,500000,0000798290,N-Q,14
