"
Counterparty ","
Notional amount ","
Termination   date ","
Payments made by   the Fund1 ","
Payments received by   the Fund1 ",CIK,Reporting Type,Report Year
"
Deutsche   Bank AG ","
6,490,000 ","
02/03/16 ","
1.5575 ",0.24,0000886244,N-Q,11
"
Deutsche   Bank AG ","
GBP ","
4,410,000 ","
02/01/16 ",1.0275,0000886244,N-Q,11
