Counterparty,Notional amount,Termination    date,Payments    made by the    Fund2,Payments    received by    the Fund,Upfront    payments    (made)/   received,Value,Unrealized    appreciation/    (depreciation),CIK,Reporting Type,Report Year
Deutsche   Bank AG,"225,000",03/20/14,1.0,%3,"1,958","(2,520",(562,0000886244,N-Q,11
Deutsche   Bank AG,"250,000",12/20/15,1.0,"5,970","(6,609",(639,,0000886244,N-Q,11
Merrill   Lynch International,"150,000",03/20/16,1.0,672,(107,565,,0000886244,N-Q,11
