"
Counterparty ","
Notional amount ","
Termination   date ",CIK,Reporting Type,Report Year
"
Deutsche   Bank AG ","
250,000 ","
12/20/15 ",0000886244,N-Q,11
"
Deutsche   Bank AG ","
150,000 ","
03/20/16 ",0000886244,N-Q,11
"
Merrill   Lynch International ","
150,000 ","
03/20/16 ",0000886244,N-Q,11
