"
Counterparty","
Notionalamount","
Terminationdate","
Paymentsmade by the Fund",CIK,Reporting Type,Report Year
"
Deutsche Bank AG","
9,680,000","
12/20/12",0.6,0000886244,N-CSR,10
"
Deutsche Bank AG","
24,000,000","
06/20/13",3.25002,0000886244,N-CSR,10
"
Deutsche Bank AG","
33,000,000","
06/20/13",3.25002,0000886244,N-CSR,10
"
Deutsche Bank AG","
7,000,000","
06/20/14",5.00002,0000886244,N-CSR,10
"
Goldman Sachs International","
4,960,000","
12/20/13",1.50002,0000886244,N-CSR,10
"
Goldman Sachs International","
5,000,000","
06/20/14",5.00002,0000886244,N-CSR,10
"
Goldman Sachs International","
11,280,000","
06/20/14",5.00002,0000886244,N-CSR,10
"
Goldman Sachs International","
9,300,000","
02/17/51",0.35002,0000886244,N-CSR,10
"
Merrill Lynch International","
24,000,000","
06/20/13",3.25002,0000886244,N-CSR,10
"
Merrill Lynch International","
26,200,000","
06/20/13",3.25002,0000886244,N-CSR,10
