Counterparty,"
ReferenceEntity/Obligation","
Buy/SellProtection","
(Pay)/ReceiveFixedRate (%)","
TerminationDate","
NotionalAmount(2)","
FairValue(3)","
UpfrontPaymentsPaid/(Received)","
UnrealizedAppreciation/(Depreciation)"
"Citigroup, Inc.",CDX.EM.19,Buy,(5.000,06/20/18,"63,000,000","(5,518,534","(4,789,383","(729,151"
Deutsche Bank AG,CDX.EM.19,Buy,(5.000,06/20/18,"9,228,000","(808,334","(691,250","(117,084"
HSBC,CDX.EM.19,Buy,(5.000,06/20/18,"12,061,000","(1,056,493","(906,803","(149,690"
