"Counterparty: Morgan Stanley Capital Services, Inc.",12/20/2005,"I,X"," 3,000,000","5,499",CIK,Reporting Type,Report Year
"Counterparty: Lehman Brothers Special Financing, Inc.",12/20/2005,X,"3,000,000","(13,562",0000837276,N-Q,05
"Counterparty: Lehman Brothers Special Financing, Inc.",3/20/2006,X,"2,000,000","(16,239",0000837276,N-Q,05
"HSBC Bank USA, NA",3/20/2006,"I,X","2,000,000","(15,843",0000837276,N-Q,05
Counterparty: Merrill Lynch Capital Services,6/20/2006,X,"4,500,000","48,920",0000837276,N-Q,05
Counterparty: Credit Suisse First Boston International,12/20/2005,X,"1,500,000","3,756",0000837276,N-Q,05
