"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive(Pay)","
AnnualPremium","
DeliverableOn Default","
Appreciation(Depreciation)",CIK,Reporting Type,Report Year
"
15,000,000 ","
10/17/2011","
Deutsche Bank AG","
Receive",3.55,"
Gazprom Loan Facility","
1,949,610",0000772129,N-CSRS,06
"
5,000,000 ","
10/25/2011","
Deutsche Bank AG","
Receive",4.7,"
Government of Ukraine","
697,393",0000772129,N-CSRS,06
"
19,000,000 ","
10/30/2011","
Deutsche Bank AG","
Receive",4.0,"
Naftofaz Ukraine","
162,388",0000772129,N-CSRS,06
"
9,687,520 ","
12/20/2011","
Deutsche Bank AG","
Receive",1.6,"
Stemcor UK Ltd.","
160,244",0000772129,N-CSRS,06
"
3,000,000 ","
2/25/2012","
Deutsche Bank AG","
Receive",3.68,"
Deutsche Bank Loanto Ukrtelekom","
17,601",0000772129,N-CSRS,06
"
19,000,000 ","
5/5/2012","
Deutsche Bank AG","
Receive",4.0,"
Naftofaz Ukraine","
155,826",0000772129,N-CSRS,06
"
10,000,000 ","
6/20/2012","
Morgan StanleyCapital Services,Inc.","
Receive",2.1,"
Republic of Panama","
412,822",0000772129,N-CSRS,06
"
5,000,000 ","
7/30/2012","
JP MorganChase Bank","
Receive",3.05,"
Republic of Chile","
719,805",0000772129,N-CSRS,06
"
3,000,000 ","
8/28/2012","
Deutsche Bank AG","
Receive",3.75,"
Deutsche Bank Loanto Ukrtelekom","
12,396",0000772129,N-CSRS,06
"
10,000,000 ","
10/4/2012","
JP MorganChase Bank","
Receive",2.95,"
Republic of Chile","
1,517,451",0000772129,N-CSRS,06
"
5,000,000 ","
11/5/2012","
Deutsche Bank AG","
Receive",6.5,"
Republic of Jamaica","
596,790",0000772129,N-CSRS,06
"
10,000,000 ","
1/8/2013","
Deutsche Bank AG","
Receive",7.15,"
Republic of Colombia","
3,010,739",0000772129,N-CSRS,06
"
10,000,000 ","
1/9/2013","
Deutsche Bank AG","
Receive",8.25,"
Republic of Turkey","
3,176,011",0000772129,N-CSRS,06
"
7,000,000 ","
1/10/2013","
JP MorganChase Bank","
Receive",7.5,"
Republic of Colombia","
2,240,027",0000772129,N-CSRS,06
"
10,000,000 ","
2/7/2013","
JP MorganChase Bank","
Receive",8.3,"
Republic of Colombia","
3,590,672",0000772129,N-CSRS,06
"
15,000,000 ","
2/11/2013","
JP MorganChase Bank","
Receive",3.05,"
United Mexican States","
2,026,740",0000772129,N-CSRS,06
"
10,000,000 ","
6/6/2013","
Deutsche Bank AG","
Receive",9.4,"
Republic of Brazil","
4,499,750",0000772129,N-CSRS,06
"
20,000,000 ","
6/12/2013","
Deutsche Bank AG","
Receive",9.08,"
Republic of Brazil","
8,615,809",0000772129,N-CSRS,06
"
130,000,000 ","
10/20/2013","
Deutsche Bank AG","
Receive",3.3,"
Republic of Brazil","
12,919,317",0000772129,N-CSRS,06
"
80,000,000 ","
10/20/2013","
Deutsche Bank AG","
Receive",4.05,"
Republic of Brazil","
11,442,605",0000772129,N-CSRS,06
"
15,000,000,000 ","
10/20/2013","
Deutsche Bank AG","
(Pay)",3.2,"
Republic of Brazil","
(14,496,729",0000772129,N-CSRS,06
"
9,000,000,000 ","
10/20/2013","
Deutsche Bank AG","
(Pay)",3.95,"
Republic of Brazil","
(12,538,162",0000772129,N-CSRS,06
"
10,000,000 ","
12/20/2013","
Deutsche Bank AG","
Receive",10.5,"
Republic of Ecuador","
3,839,699",0000772129,N-CSRS,06
