Underlying Instrument,Counterparty,Expiration Date,Notional Amount,Fixed Rate (%),CIK,Reporting Type,Report Year
Federative Republic of Brazil,Barclays Bank PLC,09/20/16,550000,1,0000798290,N-CSRS,13
Peoples Republic of China,JPMorgan Chase Bank,"  
      ",500000,1,0000798290,N-CSRS,13
Peoples Republic of China,JPMorgan Chase Bank,09/20/16,500000,1,0000798290,N-CSRS,13
