SWAP COUNTERPARTY &REFERENCE OBLIGATION,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),UPFRONTPAYMENTSPAID(RECEIVED),VALUE,"CREDITRATING
OFREFERENCEOBLIGATION ",CIK,Reporting Type,Report Year
"Barclays Bank PLC Quest        Diagnostics, Inc.",Buy,395000,1.0,3/20/19,"(6,449)","7,581","1,132",BBB+,0000882381,N-CSRS,14
"Barclays Bank PLC Yum!   Brands, Inc.",Buy,400000,1.0,12/20/18,"(3,713)","(6,942)","(10,655)",BBB,0000882381,N-CSRS,14
JPMorgan Chase Bank NA  CDX.NA.IG.20,Sell,"1,050000",1.0,6/20/18,"17,019","5,799","22,818",NR,0000882381,N-CSRS,14
"Morgan Stanley & Co., LLC*CDX.NA.HY.21",Buy,"3,375000",5.0,12/20/18,"7,508","(280,447)","(272,939)",NR,0000882381,N-CSRS,14
"Morgan Stanley & Co., LLC*CDX.NA.IG.21",Sell,400000,1.0,12/20/18,"2,689","5,699","8,388",NR,0000882381,N-CSRS,14
