COUNTERPARTY/REFERENCE OBLIGATIONS ,AMOUNT2 ,PROTECTION ,FIXED RATE ,DATE ,11-30-083 ,(DEPRECIATION) ,VALUE4 ,CIK,Reporting Type,Report Year
 General Motors Corp. ,"$3,000,000 ",Sell ,5.35% ,Mar 2009 ,156.94,"($1,794,588) ","($1,794,588) ",0000045288,N-CSR,09
 Goodyear Tire & Rubber Co. ,"$5,000,000 ",Sell ,1.51,Jun 2012 ,18.92,"(1,044,329) "," (1,044,329) ",0000045288,N-CSR,09
