"Reference
  Obligation","Swap 
  Counterparty","Notional
  Amount","Rates Received
  by the Fund","Termination
  Date","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
Republic of Venezuela,Lehman,300000,3.0,7/20/2017,"(39,529",0001391673,N-CSR,08
Republic of Venezuela,Lehman,325000,4.28,11/20/2017,"(27,241",0001391673,N-CSR,08
Int l Bond,J.P. Morgan,70000,1.62,2/20/2012,(120,0001391673,N-CSR,08
Int l Bond,J.P. Morgan,65000,1.92,3/20/2012,576,0001391673,N-CSR,08
Int l Bond,Citigroup,350000,1.68,11/20/1012,"(2,327",0001391673,N-CSR,08
Russian Federation,J.P. Morgan,425000,1.04,9/17/2017,"(4,782",0001391673,N-CSR,08
