Underlying Instrument,Broker (Exchange),NotionalAmount,FixedRate,ExpirationDate,ImpliedCreditSpread*,Value,UnrealizedDepreciation,CIK,Reporting Type,Report Year
CDX.NA.HY.22,Credit Suisse First Boston (CME),"13,365,000",5.0,06/20/19,35.317,"$808,692","(46,322",0000883939,N-CSR,14
CDX.NA.HY.22,JPMorgan (CME),"8,415,000",5.0,06/20/19,35.317,"509,176","(40,948",0000883939,N-CSR,14
