Counterparty (Issuer),Reference Entity,Fixed Rate,Date,Amount,Value,Paid/(Received),(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.HY.17.5Y,(5.00,12/20/2016,8051,175,197,(22,0000898745,N-CSR,12
Goldman Sachs International CDX.HY.18.5Y,(5.00,06/20/2017,5100,169,252,(83,,0000898745,N-CSR,12
