Counterparty (Issuer),Reference Entity,Date,CIK,Reporting Type,Report Year
UBS Securities,CDX.NA.HY.17,12/20/2016,0000898745,N-CSR,12
UBS Securities,CDX.NA.HY.17,12/20/2016,0000898745,N-CSR,12
UBS Securities,CDX.NA.HY.17,12/20/2016,0000898745,N-CSR,12
UBS Securities,CDX.NA.HY.17,12/20/2016,0000898745,N-CSR,12
