Counterparty,Referenced Entity,Buy/SellProtection (7),CurrentCreditSpread (6),NotionalAmount(U.S. Dollars),FixedRate,TerminationDate,Value(U.S. Dollars),UnrealizedAppreciation(Depreciation)(U.S. Dollars),CIK,Reporting Type,Report Year
JPMorgan Chase,DJ High Yield CDX,Sell,5.67,"588,000",5.0,12/20/16,"(12,268","60,864",0001390204,N-CSR,12
JPMorgan Chase,DJ Investment Grade CDX,Sell,1.01,"2,250,000",1.0,12/20/16,"1,792","54,590",0001390204,N-CSR,12
