ISSUER  ,NOTIONAL AMOUNT  ,SELL  PROTECTION ,RECEIVED  FIXED RATE  ,TERMINATION DATE    ,COUNTERPARTY  ,APPRECIATION (DEPRECIATION)   ,CIK,Reporting Type,Report Year
"Abitibi-Consolidated, Inc. ","$3,000,000   ",SELL  ,8.00%  ,Sep 2012  ,Morgan Stanley  ,"($310,874)  ",0000315554,N-CSRS,08
"American Airlines, Inc.  ",3000000,SELL  ,6.6,Sep 2012  ,Morgan Stanley  ,31339,0000315554,N-CSRS,08
"BoWater, Inc.  ",3000000,SELL  ,7,Sep 2012  ,Morgan Stanley  ,"(333,850)  ",0000315554,N-CSRS,08
"Abitibi-Consolidated, Inc. ","$3,000,000   ",SELL  ,8.00%  ,Sep 2012  ,Morgan Stanley  ,"($310,874)  ",0000315554,N-CSRS,08
"American Airlines, Inc.  ",3000000,SELL  ,6.6,Sep 2012  ,Morgan Stanley  ,31339,0000315554,N-CSRS,08
"BoWater, Inc.  ",3000000,SELL  ,7,Sep 2012  ,Morgan Stanley  ,"(333,850)  ",0000315554,N-CSRS,08
