"
SWAP COUNTERPARTY & REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)","
UPFRONTPAYMENTS",CIK,Reporting Type,Report Year
"
Barclays BankAlcoa, Inc.","
Buy",130000,1.0,"
09/20/18","
(10,380","
13,592",0000716716,N-CSR,14
"
Barclays BankYum! Brands, Inc.","
Buy",225000,1.0,"
12/20/18","
(1,927","
(3,905",0000716716,N-CSR,14
"
Barclays BankQuest  Diagnostics Inc.","
Buy",250000,1.0,"
12/20/18","
2,788","
2,788",0000716716,N-CSR,14
"
JPMorgan ChaseCDX.NA.IG.20","
Sell",600000,1.0,"
06/20/18","
8,799","
3,314",0000716716,N-CSR,14
"
JPMorgan ChaseKohl's Corporation","
Buy",250000,1.0,"
06/20/18","
(14,432","
14,208",0000716716,N-CSR,14
"
Morgan Stanley & Co., LLC* CDX.NA.IG.21","
Sell",225000,1.0,"
12/20/18","
895","
3,206",0000716716,N-CSR,14
