SWAP COUNTERPARTY& REFERENCEOBLIGATION,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDDEPRECIATION,UPFRONTPAYMENTSPAID(RECEIVED),VALUE,CREDITRATING OFREFERENCEOBLIGATION ,CIK,Reporting Type,Report Year
"Yum! Brands, Inc.",Buy,225000,1.0,12/20/18,"(1,413","(3,905","(5,318",BBB,0000716716,N-Q,14
"Quest Diagnostics, Inc.",Buy,250000,1.0,3/20/19,"(3,821","4,798",977,BBB+,0000716716,N-Q,14
