Underlying Instrument,Counterparty,Expiration Date,Notional Amount,Fixed Rate (%),CIK,Reporting Type,Report Year
"Federative Republic of
      Brazil",Barclays Bank PLC,9/20/16,0.73,550000,0000798290,N-CSRS,14
"Federative Republic of
      Brazil",Barclays Bank PLC,6/20/18,1.2,300000,0000798290,N-CSRS,14
"Federative Republic of
      Brazil","JPMorgan Chase Bank
    N.A.",6/20/18,1.2,500000,0000798290,N-CSRS,14
Peoples Republic of China,JPMorgan Chase Bank N.A.,9/20/16,0.37,500000,0000798290,N-CSRS,14
Peoples Republic of China,"JPMorgan Chase Bank
    N.A.",9/20/16,0.37,500000,0000798290,N-CSRS,14
