"
SWAP COUNTERPARTY & REFERENCE OBLIGATION","
BUY/SELL PROTECTION","
NOTIONALAMOUNT (000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZED APPRECIATION(DEPRECIATION)",CIK,Reporting Type,Report Year
"
Barclays BankAlcoa, Inc.",Buy,800,1,06/20/18,3351,0000093284,N-CSRS,13
"
Barclays BankDevon Energy  Corporation",Buy,900,1,06/20/18,"(1,355",0000093284,N-CSRS,13
"
Barclays BankTransocean, Inc.",Buy,925,1,06/20/18,(963,0000093284,N-CSRS,13
"
JPMorgan ChaseCDX.NA.IG.20",Sell,4000,1,06/20/18,"(2,759",0000093284,N-CSRS,13
"
JPMorgan ChaseKohl's  Corporation",Buy,950,1,06/20/18,"(1,630",0000093284,N-CSRS,13
