"
Counterparty ","
Notional   amount ","
Termination   date ","
Payments made   by the Fund1 ",CIK,Reporting Type,Report Year
"
Deutsche   Bank AG ","
710,000 ","
02/03/16 ",1.5575,0000886244,N-Q,11
"
Deutsche   Bank AG ","
480,000 ","
02/01/16 ",1.0275,0000886244,N-Q,11
