Counterparty,Notional amount,Termination   date,Payments made   by the Fund,Payments received   by the Fund2,Upfront payments   received,Value,Unrealized    appreciation/   (depreciation),Credit    spread3,CIK,Reporting Type,Report Year
Deutsche   Bank AG,"250,000",12/20/15,%4,1.0000,"(5,716","5,041",(675,0.562,0000886244,N-Q,11
Deutsche   Bank AG,"150,000",03/20/16,1.0000,"2,683","(1,510","1,173",1.2210,,0000886244,N-Q,11
Merrill   Lynch International,"150,000",03/20/16,1.0000,763,(385,378,1.0610,,0000886244,N-Q,11
