"
SWAPCOUNTERPARTY & REFERENCEOBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDDEPRECIATION","
UPFRONTPAYMENTSPAID(RECEIVED)",VALUE,"
CREDITRATING OFREFERENCEOBLIGATION ",CIK,Reporting Type,Report Year
"
Barclays Bank PLC  Quest Diagnostics, Inc.",Buy,395000,1.0,03/20/19,"(10,561","7,581","(2,980",BBB+,0000882381,N-CSR,15
"
Barclays Bank PLC Yum! Brands, Inc.",Buy,400000,1.0,12/20/18,"(2,104","(6,943","(9,047",BBB,0000882381,N-CSR,15
"
Morgan Stanley & Co., LLC*CDX.NA.IG.22",Buy,"1,400000",1.0,06/20/19,(712,"(28,663","(29,375",NR,0000882381,N-CSR,15
"
Morgan Stanley & Co., LLC*CDX.NA.IG.22",Buy,"2,825000",1.0,06/20/19,"(1,746","(57,523","(59,269",NR,0000882381,N-CSR,15
