Reference Entity,Counterparty,NotionalAmount(000s omitted),ContractannualFixed Rate,TerminationDate,MarketValue,UnamortizedUpfrontPaymentsReceived,UnrealizedDepreciation,CIK,Reporting Type,Report Year
Markit CDX North America High Yield Index,CME Group Inc.,"9,800000",5.00%,12/20/21,"(622,578","(412,514","(210,064",0000032339,N-CSR,17
Markit CDX North America Investment Grade Index,CME Group Inc.,"6,437000",1.00%,12/20/21,"(99,531","(81,483","(18,048",0000032339,N-CSR,17
