Reference Entity,Counterparty,NotionalAmount(000s omitted),ContractannualFixed Rate,TerminationDate,MarketValue,UnamortizedUpfrontPaymentsReceived,UnrealizedDepreciation,CIK,Reporting Type,Report Year
Markit CDX North America High Yield Index,CME Group Inc.,"2,280000",5.00%,12/20/21,"(144,845","(95,728","(49,117",0000032339,N-CSR,17
Markit CDX North America Investment Grade Index,CME Group Inc.,"1,454000",1.00%,12/20/21,"(22,475","(18,399","(4,076",0000032339,N-CSR,17
