Buy/Sell,(Pay)/Receive,Termination,Notional,Appreciation/,CIK,Reporting Type,Report Year
Buy,(0.400),09/20/17,"5,233,000","17,121",0000002646,N-Q,07
Buy,(0.380),09/20/12,"1,445,000","5,337",0000002646,N-Q,07
Buy,(0.510),09/20/17,"1,410,000","(5,547)",0000002646,N-Q,07
Buy,(0.510),09/20/17,"3,151,000","(12,396)",0000002646,N-Q,07
Buy,(0.380),09/20/17,"5,233,000","33,621",0000002646,N-Q,07
Buy,(0.670),09/20/17,"1,410,000","8,403",0000002646,N-Q,07
Buy,(0.420),09/20/17,"5,233,000","133,933",0000002646,N-Q,07
Buy,(1.040),03/20/14,"2,105,000","29,219",0000002646,N-Q,07
Buy,(0.890),03/20/14,"6,218,000","136,447",0000002646,N-Q,07
Buy,(1.020),03/20/14,"6,015,000","89,958",0000002646,N-Q,07
Buy,(0.900),03/20/14,"5,447,000","118,302",0000002646,N-Q,07
Buy,(1.600),09/20/17,"5,813,000","13,349",0000002646,N-Q,07
Buy,(0.900),03/20/14,"5,820,000","124,584",0000002646,N-Q,07
Buy,(1.000),06/20/12,"13,620,000","842,810",0000002646,N-Q,07
Buy,(0.410),09/20/12,"8,729,000","(59,394)",0000002646,N-Q,07
Sell,0.160,07/20/08,"21,337,000","6,514",0000002646,N-Q,07
Buy,(0.355),07/20/12,"2,668,000","10,464",0000002646,N-Q,07
Buy,(0.620),08/20/12,"10,673,000","(76,297)",0000002646,N-Q,07
Buy,(0.300),03/20/14,"5,814,000","(7,899)",0000002646,N-Q,07
Buy,(0.280),03/20/14,"15,391,000","(3,724)",0000002646,N-Q,07
Buy,(0.380),03/20/17,"12,313,000","9,533",0000002646,N-Q,07
Buy,(0.420),03/20/17,"5,814,000","(12,951)",0000002646,N-Q,07
Buy,(0.280),03/20/14,"817,000",(198),0000002646,N-Q,07
Buy,(0.380),03/20/17,"1,000,000",774,0000002646,N-Q,07
Buy,(0.350),09/20/17,"5,233,000","12,134",0000002646,N-Q,07
Buy,(0.880),03/20/17,"5,814,000","65,838",0000002646,N-Q,07
Buy,(0.580),03/20/14,"1,083,000","12,047",0000002646,N-Q,07
Buy,(0.640),03/20/14,"6,191,000","48,510",0000002646,N-Q,07
Buy,(0.570),03/20/14,"6,218,000","72,577",0000002646,N-Q,07
Buy,(0.600),03/20/14,"11,701,000","117,337",0000002646,N-Q,07
Sell,0.780,09/20/12,"5,906,000","39,861",0000002646,N-Q,07
Sell,0.780,09/20/12,"4,980,000","33,611",0000002646,N-Q,07
Sell,0.770,09/20/12,"12,455,000","78,552",0000002646,N-Q,07
Sell,0.790,09/20/12,"4,096,000","29,456",0000002646,N-Q,07
Sell,1.030,03/20/12,"7,035,351","44,306",0000002646,N-Q,07
Buy,(0.610),09/20/16,"5,501,000","(24,316)",0000002646,N-Q,07
Buy,(0.610),09/20/16,"11,002,000","(48,631)",0000002646,N-Q,07
