Description,CounterParty,Exercise Rate,Expiration Date ,Notional Amount,Premium ,Value,CIK,Reporting Type,Report Year
"Dow Jones CDX IG9 5Yr, Put, Exercise Rate 1.80%, 4/21/08",JPMorgan Chase,1.80%,4/21/2008,"$4,110,000 ","$31,647 ","$11,508 ",0000799295,N-Q,08
"Dow Jones CDX IG9 5Yr, call, Exercise Rate 1.80%, 4/21/08",JPMorgan Chase,1.80%,4/21/2008,"$4,110,000 ","$49,731 ","$60,828 ",0000799295,N-Q,08
