Counterparty,Notional amount,Terminationdate,CIK,Reporting Type,Report Year
Deutsche Bank AG,2500000,08/25/37,0000944684,N-CSR,08
Merrill Lynch,1650000,08/25/37,0000944684,N-CSR,08
