Swap Counterparty andReference Obligation,Buy/SellProtection,NotionalAmount(000),Pay/ReceiveFixed Rate,TerminationDate,CIK,Reporting Type,Report Year
"Barclays BankAlcoa, Inc.",Buy,530000,1,9/20/18,0000741375,N-Q,14
Barclays BankQuest Diagnostics Inc.,Buy,995000,1,12/20/18,0000741375,N-Q,14
"Barclays BankYum! Brands, Inc.",Buy,950000,1,12/20/18,0000741375,N-Q,14
JPMorgan ChaseCDX.NA.IG.20,Sell,2050000,1,6/20/18,0000741375,N-Q,14
JPMorgan ChaseCDX.NA.IG.20,Sell,450000,1,6/20/18,0000741375,N-Q,14
JPMorgan ChaseKohl s Corporation,Buy,1100000,1,6/20/18,0000741375,N-Q,14
"Morgan Stanley & Co., LLC*CDX.NA.IG.21",Sell,950000,1,12/20/18,0000741375,N-Q,14
