Swap Counterparty,Protection,Amount(000 s),Date,(Paid),Value,Depreciation,CIK,Reporting Type,Report Year
Barclays Bank plc,Sell,70000,3/20/16,319,"(2,082",1763,0001488175,N-CSR,12
Credit Suisse International,Sell,85000,6/20/16,582,"(2,670",2088,0001488175,N-CSR,12
Barclays Bank plc,Sell,50000,3/20/16,4209,"(8,883",4674,0001488175,N-CSR,12
Barclays Bank plc,Sell,63000,6/20/16,5081,"(11,691",6610,0001488175,N-CSR,12
Goldman Sachs International,Sell,90000,6/20/16,352,"(2,790",2438,0001488175,N-CSR,12
HSBC Bank USA NA,Sell,20000,3/20/16,21,(587,566,0001488175,N-CSR,12
