Swap Counterparty andReference Obligation,Buy/SellProtection,NotionalAmount(000),Pay/ReceiveFixed Rate,TerminationDate,CIK,Reporting Type,Report Year
"Barclays BankAlcoa, Inc.",Buy,110,1,9/20/18,0000741375,N-Q,14
Barclays BankQuest Diagnostics Inc.,Buy,200,1,12/20/18,0000741375,N-Q,14
"Barclays BankYum! Brands, Inc.",Buy,200,1,12/20/18,0000741375,N-Q,14
JPMorgan ChaseCDX.NA.IG.20,Sell,450,1,6/20/18,0000741375,N-Q,14
JPMorgan ChaseCDX.NA.IG.20,Sell,90,1,6/20/18,0000741375,N-Q,14
JPMorgan ChaseKohl s Corporation,Buy,250,1,6/20/18,0000741375,N-Q,14
"Morgan Stanley & Co., LLCCDX.NA.HY.20",Sell,1000,5,6/20/18,0000741375,N-Q,14
Morgan Stanley & Co; LLCCDX.NA.IG.21,Sell,200,1,12/20/18,0000741375,N-Q,14
