"Swap Counterparty &
  Referenced Obligation","Notional
  Amount","Annual Protection
  Payments","Termination
  Date","Unrealized
  Appreciation
  (Depreciation)",CIK,Reporting Type,Report Year
Gannet 7 yr CDS,"30,000",0.88,9/20/14,(166,0000814230,N-CSR,07
"New York Times 7
  yr CDS","30,000",0.75,9/20/14,(151,0000814230,N-CSR,07
"Sara Lee 7 yr
  CDS","30,000",0.6,9/20/14,10,0000814230,N-CSR,07
