SWAP COUNTERPARTY & REFERENCE OBLIGATION,PROTECTION,(000 s),RATE,DATE,(DEPRECIATION),CIK,Reporting Type,Report Year
"DJ CDX, N.A.",Sell,360,0.6,"December 20, 2012",4569,0000837529,N-Q,08
"DJ CDX, N.A.",Sell,660,0.8,"December 20, 2017",11680,0000837529,N-Q,08
"DJ CDX, N.A.",Sell,1330,0.6,"December 20, 2012",24800,0000837529,N-Q,08
"DJ CDX, N.A.",Sell,725,0.6,"December 20, 2012",2439,0000837529,N-Q,08
"DJ CDX, N.A.",Sell,360,0.6,"December 20, 2012",2212,0000837529,N-Q,08
Arrow Electronics,Buy,430,1.0,"March 20, 2015","(6,201",0000837529,N-Q,08
Avalonbay Communities,Buy,315,3.05,"March 20, 2013","(22,617",0000837529,N-Q,08
