"
Counterparty","
Notional amount","
Termination date","
Payments made by the Fund",CIK,Reporting Type,Report Year
"
Barclays Bank PLC","
48,500,000","
12/20/11","
1.4000 %",0000886244,N-CSRS,08
"
Barclays Bank PLC","
62,500,000","
12/20/11","
1.4000 %",0000886244,N-CSRS,08
"
Barclays Bank PLC","
57,000,000","
06/20/12","
1.2500 %",0000886244,N-CSRS,08
