Notional Amount(1),ExpirationDate,Description,Net UnrealizedAppreciation /(Depreciation)(2),CIK,Reporting Type,Report Year
"5,000,000",08/12/41,"Agreement with Greenwich Capital, dated 12/01/06 to receive monthly the notional amount multiplied by 0.75% and to pay only in the event of a write down, or failure to pay a principal payment or an
interest shortfall on MSC 2006-T23 H.","(4,183,821",0001173788,N-CSR,09
"5,000,000",10/12/41,"Agreement with Greenwich Capital, dated 12/01/06 to receive monthly the notional amount multiplied by 0.75% and to pay only in the event of a write down, or failure to pay a principal payment or an
interest shortfall on BSCMS 2006-T24 H.","(4,096,547",0001173788,N-CSR,09
"5,000,000",02/11/44,"Agreement with Bear Stearns, dated 06/01/07 to receive monthly the notional amount multiplied by 2.35% and to pay only in the event of a write down, or failure to pay a principal payment or an interest
shortfall on BSCMS 2007-PW15 H.","(4,150,797",0001173788,N-CSR,09
"5,000,000",10/15/48,"Agreement with Bear Stearns, dated 11/28/06 to receive monthly the notional amount multiplied by 0.75% and to pay only in the event of a write down, or failure to pay a principal payment or an interest
shortfall on WBCMT 2006-C28 J.","(3,921,232",0001173788,N-CSR,09
"5,000,000",01/15/49,"Agreement with Bear Stearns, dated 06/01/07 to receive monthly the notional amount multiplied by 2.45% and to pay only in the event of a write down, or failure to pay a principal payment or an interest
shortfall on CSMC 2007-C2 K.","(4,147,782",0001173788,N-CSR,09
"5,000,000",11/12/49,"Agreement with Bear Stearns, dated 06/01/07 to receive monthly the notional amount multiplied by 2.35% and to pay only in the event of a write down, or failure to pay a principal payment or an interest
shortfall on MSC 2007-T25 H.","(4,133,716",0001173788,N-CSR,09
