Reference Entity,Counterparty,NotionalAmount(000s omitted),ContractannualFixed Rate,TerminationDate,MarketValue,UnamortizedUpfrontPaymentsPaid,UnrealizedDepreciation,CIK,Reporting Type,Report Year
Markit CDX North America High Yield Index,CME Group Inc.,"84,290000",5.00%,12/20/21,"(5,354,815","(3,535,210","(1,819,605",0000040559,N-CSR,17
Markit CDX North America Investment Grade Index,CME Group Inc.,"52,423000",1.00    ,12/20/21,"(810,608","(663,558","(147,050",0000040559,N-CSR,17
