Counterparty,Reference Entity,Protection,Rate,Date,Notional Amount(000),CIK,Reporting Type,Report Year
"Goldman
Sachs
International
","Calpine Corp.
","Sell
",5.0,"03/20/11
",2000000,0000853180,N-Q,10
"Goldman
Sachs
International
","Texas
Competitive
Electric
Holdings
Co., LLC
","Sell
",2.85,"06/20/10
",5000000,0000853180,N-Q,10
"Goldman
Sachs
International
","Texas
Competitive
Electric
Holdings
Co., LLC
","Sell
",5.0,"06/20/10
",3000000,0000853180,N-Q,10
"Goldman
Sachs
International
","Texas
Competitive
Electric
Holdings
Co., LLC
","Sell
",5.0,"03/20/12
",5000000,0000853180,N-Q,10
