Referenced Obligation, Value,Payments,Date,Appreciation,CIK,Reporting Type,Report Year
          Financial CDS,"33,860
",4.95%,12/20/13,3133,0000896923,N-CSR,09
          Financial CDS,33860,5.20%,12/20/13,2842,0000896923,N-CSR,09
          Financial CDS,33860,7.00%,12/20/13,737,0000896923,N-CSR,09
