"Notional
  Amount","Expiration
  Date",Counterparty,"Receive
  (Pay)","Annual
  Premium","Deliverable
  On Default","Net
  Unrealized
  Appreciation
  (Depreciation)",CIK,Reporting Type,Report Year
"60,000,000",9/20/2010,"Morgan Stanley Capital
  Services Inc.",Receive,0.4,"Credit Swap Eagle Creek
  CDO","(561,873 ",0000772129,N-Q,06
"28,000,000",3/20/2015,Lehman Brothers,Receive,0.88,Credit Swap AAA CDO,"(869,611",0000772129,N-Q,06
