COUNTERPARTY,BUY/SELLPROTECTION,(PAY)/RECEIVEFIXED RATE,REFERENCE,NOTIONALAMOUNT,EXPIRATIONDATE,CIK,Reporting Type,Report Year
BNP,Buy,(1.00%),"Colombia Government Bond,10.375%, 1/28/33","$601,000",12/20/21,0000916620,N-CSR,16
BNP,Buy,(1.00%),"South Africa Government Bond, 5.5%, 3/9/20",400000,12/20/21,0000916620,N-CSR,16
BNP,Buy,(1.00%),"Russia Government Bond,7.50%, 3/31/30",650000,12/20/21,0000916620,N-CSR,16
BNP,Buy,(1.00%),"Qatar Government Bond,9.75%, 6/15/30",575000,12/20/21,0000916620,N-CSR,16
BNP,Buy,(1.00%),"China Government Bond,7.50%, 10/28/27",900000,12/20/21,0000916620,N-CSR,16
