Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
Austria,UBS AG,"14,740",0.54,11/20/13,477,0000883939,N-Q,09
"Berkshire Hathaway, Inc.",Citibank N.A.,"(1,500",5.0,12/20/13,105,0000883939,N-Q,09
Brunswick Corp.,Credit Suisse First Boston,"(1,040",3.95,12/20/13,350,0000883939,N-Q,09
Brunswick Corp.,Merrill Lynch,(560,1.15,03/20/17,243,0000883939,N-Q,09
Capital One Financial Corp.,Citibank N.A.,(680,1.65,06/20/13,,0000883939,N-Q,09
Capital One Financial Corp.,Citibank N.A.,(920,3.1,09/20/13,(50,0000883939,N-Q,09
Centex Corp.,Merrill Lynch,"(1,040",5.05,09/20/13,(28,0000883939,N-Q,09
Centex Corp.,Credit Suisse First Boston,(560,2.65,09/20/17,37,0000883939,N-Q,09
Denmark,Barclays Bank PLC,"3,215",0.63,12/20/13,77,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 10",Barclays Bank PLC,"4,030",3.35,12/20/13,612,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 10",Citibank N.A.,"3,965",3.35,12/20/13,602,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 10",Citibank N.A.,"7,465",3.35,12/20/13,"1,133",0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 10",Credit Suisse First Boston,"2,935",3.35,12/20/13,445,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 10",Credit Suisse First Boston,"2,985",3.35,12/20/13,453,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 10",JPMorgan,"2,985",3.35,12/20/13,453,0000883939,N-Q,09
"Emerging Markets CDX Indices, Series 10",Merrill Lynch,"2,985",3.35,12/20/13,453,0000883939,N-Q,09
Fedex Corp.,Credit Suisse First Boston,"(1,600",1.07,09/20/13,92,0000883939,N-Q,09
"Gannett Co., Inc.",Citibank N.A.,(560,0.81,06/20/17,178,0000883939,N-Q,09
"Gannett Co., Inc.",Credit Suisse First Boston,"(1,040",3.15,09/20/13,185,0000883939,N-Q,09
"Marriott International, Inc.",Credit Suisse First Boston,"(1,600",2.62,09/20/13,164,0000883939,N-Q,09
Masco Corp.,Merrill Lynch,(660,2.2,06/20/13,63,0000883939,N-Q,09
Masco Corp.,Merrill Lynch,(940,3.25,09/20/13,55,0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Barclays Bank PLC,"(7,440",5.0,12/20/13,"(1,495",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Barclays Bank PLC,"(7,440",5.0,12/20/13,"(1,495",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Merrill Lynch,"(7,440",5.0,12/20/13,"(1,495",0000883939,N-Q,09
"North America High Yield CDX Indices, Series 11",Merrill Lynch,"(7,440",5.0,12/20/13,"(1,495",0000883939,N-Q,09
"Simon Property Group, Inc.",Credit Suisse First Boston,"(1,600",1.64,09/20/13,304,0000883939,N-Q,09
Sweden,Barclays Bank PLC,"3,215",0.55,12/20/13,85,0000883939,N-Q,09
"Toll Brothers, Inc.",Merrill Lynch,(660,2.65,06/20/13,(13,0000883939,N-Q,09
"Toll Brothers, Inc.",Merrill Lynch,(940,2.95,09/20/13,(32,0000883939,N-Q,09
United Kingdom,Credit Suisse First Boston,"3,215",0.73,12/20/13,45,0000883939,N-Q,09
