"
SWAP COUNTERPARTY &REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000's)","
PAY/RECEIVEFIXEDRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)",CIK,Reporting Type,Report Year
"
Goldman Sachs InternationalHartford Financial Services  Group Inc.","
Buy",130000,0.12,"
December 20, 2011","
960",0000924394,N-CSR,08
"
Goldman Sachs InternationalMotorola, Inc.","
Buy",50000,0.15,"
December 20, 2011","
857",0000924394,N-CSR,08
"
Goldman Sachs InternationalMotorola, Inc.","
Buy",90000,0.16,"
December 20, 2011","
1,520",0000924394,N-CSR,08
"
Goldman Sachs InternationalUnion Pacific Corp.","
Buy",60000,0.2,"
December 20, 2011","
265",0000924394,N-CSR,08
"
Goldman Sachs InternationalChubb Corp.","
Buy",120000,0.1,"
March 20, 2012","
805",0000924394,N-CSR,08
"
Goldman Sachs InternationalDell Inc.","
Buy",60000,0.22,"
March 20, 2012","
185",0000924394,N-CSR,08
"
Citibank, NA, New YorkCovidien Ltd.","
Buy",50000,0.43,"
March 20, 2012","
(362",0000924394,N-CSR,08
"
Citibank, NA, New YorkCovidien Ltd.","
Buy",25000,0.43,"
March 20, 2012","
(181",0000924394,N-CSR,08
"
Citibank, NA, New YorkTyco Electronics Ltd.","
Buy",50000,0.43,"
March 20, 2012","
(51",0000924394,N-CSR,08
"
Citibank, NA, New YorkTyco Electronics Ltd.","
Buy",25000,0.43,"
March 20, 2012","
(25",0000924394,N-CSR,08
"
Citibank, NA, New YorkTyco International Ltd.","
Buy",50000,0.43,"
March 20, 2012","
(51",0000924394,N-CSR,08
"
Citibank, NA, New YorkTyco International Ltd.","
Buy",25000,0.43,"
March 20, 2012","
(25",0000924394,N-CSR,08
