Swap Counterparty,Protection,Amount(000 s),Date,(Paid),Value,Depreciation,CIK,Reporting Type,Report Year
Credit Suisse International,Buy,7440000,6/20/14,"(532,580",90556,442024,0001413714,N-CSR,09
Credit Suisse International,Buy,8370000,6/20/14,"(627,285",101876,525409,0001413714,N-CSR,09
"Morgan Stanley Capital
Services, Inc.",Buy,8370000,6/20/14,"(603,338",101876,501462,0001413714,N-CSR,09
