Underlying Instrument,Counterparty,Expiration Date,Fixed Rate,Notional Amount,CIK,Reporting Type,Report Year
Federative Republic of Brazil,Credit Suisse International,6/20/18,2.3,14000000,0000798290,N-Q,15
"Federative Republic
      of Brazil",Credit Suisse International,6/20/18,2.3,4500000,0000798290,N-Q,15
Federative Republic of Brazil,JPMorgan Chase Bank N.A.,6/20/18,2.19,2500000,0000798290,N-Q,15
"Federative Republic
      of Brazil",Barclays Bank PLC,6/20/18,2.3,2500000,0000798290,N-Q,15
Federative Republic of Brazil,Barclays Bank PLC,6/20/20,2.8,28200000,0000798290,N-Q,15
"Federative Republic
      of Brazil",Barclays Bank PLC,6/20/20,2.87,5500000,0000798290,N-Q,15
Federative Republic of Brazil,Barclays Bank PLC,6/20/20,2.87,9000000,0000798290,N-Q,15
"Federative Republic
      of Brazil",Credit Suisse International,6/20/20,2.87,20000000,0000798290,N-Q,15
People's Republic of China,JPMorgan Chase Bank N.A.,6/20/18,0.59,5500000,0000798290,N-Q,15
"People's Republic of
      China",JPMorgan Chase Bank N.A.,6/20/18,0.59,6000000,0000798290,N-Q,15
People's Republic of China,Credit Suisse International,6/20/18,0.59,6000000,0000798290,N-Q,15
"Republic of
      Colombia",Credit Suisse International,6/20/20,1.8,10000000,0000798290,N-Q,15
Republic of Peru,JPMorgan Chase Bank N.A.,6/20/17,0.86,100000,0000798290,N-Q,15
"Republic of
      Peru","Bank
      of America",3/20/20,1.4,5000000,0000798290,N-Q,15
Republic of Peru,Credit Suisse International,6/20/20,1.45,5000000,0000798290,N-Q,15
"Republic of South
      Africa",Barclays Bank PLC,12/20/17,1.29,3500000,0000798290,N-Q,15
Republic of South Africa,JPMorgan Chase Bank N.A.,12/20/17,1.29,3500000,0000798290,N-Q,15
"Republic of South
      Africa",JPMorgan Chase Bank N.A.,9/20/18,1.55,13000000,0000798290,N-Q,15
Republic of South Africa,JPMorgan Chase Bank N.A.,3/20/19,1.69,12700000,0000798290,N-Q,15
"Republic of South
      Africa","Bank
      of America",3/20/20,2.02,6000000,0000798290,N-Q,15
Republic of Turkey,Barclays Bank PLC,6/20/19,1.83,10500000,0000798290,N-Q,15
